created_at,date,user_id,username,name,tweet,link,POS tagged
1593459482000.0,2020-06-30 02:38:02,2340155395,suaradotcom,suaradotcom,denda pelanggaran psbb di dki lebih dari rp     juta  disetor ke kas daerah   darisuara,https://twitter.com/suaradotcom/status/1277687791560691712,"[('denda', 'n'), ('pelanggaran', 'n'), ('psbb', 'n'), ('dki', 'n'), ('rp', 'n'), ('juta', 'n'), ('disetor', 'n'), ('kas', None), ('daerah', 'n'), ('darisuara', 'n')]"
1593459411000.0,2020-06-30 02:36:51,1186456315750543361,wtjhia1,wtjhia, keraskan bu  jgn tanggung  psbb ketat    hari ,https://twitter.com/wtjhia1/status/1277687494331383808,"[('keraskan', 'n'), ('bu', 'n'), ('jgn', 'n'), ('tanggung', 'n'), ('psbb', 'n'), ('ketat', 'n')]"
1593459400000.0,2020-06-30 02:36:40,761395437001510912,BangPitung_AJW,Bang Pitung,ada apa antara walikota sby dgn rsud dr  soetomo  apa krn risma putuskan utk gak lagi psbb dan tangani  pandemi  covid   dgn caranya sendiri  apa dirut rsud yg notabene angg idi dpt tekanan dr idi utk  jgn trlalu bantu  risma     stoppsbb backtoschool   ,https://twitter.com/BangPitung_AJW/status/1277687446319194112,"[('walikota', 'n'), ('sby', 'n'), ('dgn', 'n'), ('rsud', 'n'), ('dr', 'n'), ('soetomo', 'n'), ('krn', 'n'), ('risma', 'n'), ('putuskan', 'n'), ('utk', None), ('gak', 'n'), ('psbb', 'n'), ('tangani', 'n'), ('pandemi', 'n'), ('covid', 'n'), ('dgn', 'n'), ('dirut', 'n'), ('rsud', 'n'), ('yg', 'n'), ('notabene', None), ('angg', 'n'), ('idi', 'n'), ('dpt', 'n'), ('tekanan', 'n'), ('dr', 'n'), ('idi', 'n'), ('utk', None), ('jgn', 'n'), ('trlalu', 'n'), ('bantu', 'n'), ('risma', 'n'), ('stoppsbb', 'n'), ('backtoschool', 'n')]"
1593459243000.0,2020-06-30 02:34:03,1191430040329678855,SanguinisSenja,Diorama,saat psbb banyak banget pengen kesini pengen kesitu  ketemu si ini dan si itu janjian   nanti abis psbb kita blablabla   realitanya adalah no time for play ya anjeng  kerja kerja kerjaaa   ,https://twitter.com/SanguinisSenja/status/1277686788983713793,"[('psbb', 'n'), ('banget', 'n'), ('pengen', 'n'), ('kesini', 'n'), ('pengen', 'n'), ('kesitu', 'n'), ('ketemu', 'n'), ('si', 'n'), ('si', 'n'), ('janjian', None), ('abis', 'n'), ('psbb', 'n'), ('blablabla', None), ('realitanya', 'n'), ('no', None), ('time', 'n'), ('for', None), ('play', 'n'), ('ya', 'n'), ('anjeng', 'n'), ('kerja', 'n'), ('kerja', 'n'), ('kerjaaa', 'n')]"
1593458949000.0,2020-06-30 02:29:09,2565387824,tunduuh1,ucu, mau donasi mau potongan apapun itu wajar sih  psbb kan asn juga wfh  malah ada yang ga kerja sama sekali  gaji bagusnya emang dipotong buat donasi corona  salut buat asn jabar ,https://twitter.com/tunduuh1/status/1277685554503544832,"[('donasi', 'n'), ('potongan', None), ('apapun', None), ('wajar', 'n'), ('sih', 'n'), ('psbb', 'n'), ('asn', 'n'), ('wfh', 'n'), ('ga', 'n'), ('kerja', 'n'), ('gaji', 'n'), ('bagusnya', 'n'), ('emang', 'n'), ('dipotong', None), ('donasi', 'n'), ('corona', 'n'), ('salut', 'n'), ('asn', 'n'), ('jabar', 'n')]"
1593458642000.0,2020-06-30 02:24:02,1063036891564556288,satumalukuID,Satu Maluku,minat warga kota ambon lakukan perjalanan cukup banyak  sepekan psbb ada       permohonan skkm  ,https://twitter.com/satumalukuID/status/1277684267544346625,"[('minat', 'n'), ('warga', 'n'), ('kota', 'n'), ('ambon', 'n'), ('lakukan', 'n'), ('perjalanan', 'n'), ('sepekan', None), ('psbb', 'n'), ('permohonan', 'n'), ('skkm', 'n')]"
1593457976000.0,2020-06-30 02:12:56,514227847,padlanmaulana,Name can't be blank,padahal awal  psbb mun teu salah  kota sukabumi nu paling ripuh soal disiplin  konsumtif pisan atuh  baju dulag  gt  katepaan virus ,https://twitter.com/padlanmaulana/status/1277681474934681600,"[('psbb', 'n'), ('mun', 'n'), ('teu', 'n'), ('salah', 'n'), ('kota', 'n'), ('sukabumi', 'n'), ('nu', None), ('ripuh', None), ('disiplin', 'n'), ('konsumtif', None), ('pisan', None), ('atuh', 'n'), ('baju', 'n'), ('dulag', 'n'), ('gt', 'n'), ('katepaan', 'n'), ('virus', 'n')]"
1593457730000.0,2020-06-30 02:08:50,1950431466,irfaanfz_,faan, nitip  langit sore jakarta masa psbb   ,https://twitter.com/irfaanfz_/status/1277680443173695488,"[('nitip', None), ('langit', 'n'), ('sore', 'n'), ('jakarta', 'n'), ('psbb', 'n')]"
1593457583000.0,2020-06-30 02:06:23,1171126931292487680,lemine_ra,ava ice bear⁷, gapapa banget  ru  ak jg kmrn gitu wkwk  take your time ya hope you feel better soon  kalo di tempat km udh ga psbb bisa bgt buat jalan  biar ga terlalu suntuk di rumah  lofyu,https://twitter.com/lemine_ra/status/1277679828464885760,"[('gapapa', 'n'), ('banget', 'n'), ('ru', 'n'), ('ak', 'n'), ('jg', 'n'), ('kmrn', 'n'), ('gitu', 'n'), ('wkwk', 'n'), ('take', 'v'), ('your', None), ('time', 'n'), ('ya', None), ('hope', 'v'), ('you', None), ('feel', 'v'), ('better', 'r'), ('soon', 'r'), ('kalo', None), ('km', 'n'), ('udh', None), ('ga', 'n'), ('psbb', 'n'), ('bgt', 'n'), ('jalan', 'n'), ('biar', 'v'), ('ga', 'n'), ('suntuk', 'n'), ('rumah', 'n'), ('lofyu', 'n')]"
1593457294000.0,2020-06-30 02:01:34,804277839990124544,faradilaanisa51,Anisa Faradila,tangsel resmi perpanjang psbb hingga    juli mendatang    ,https://twitter.com/faradilaanisa51/status/1277678616248119296,"[('tangsel', 'n'), ('resmi', 'n'), ('perpanjang', 'n'), ('psbb', 'n'), ('juli', 'n')]"
